UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
Q9P0J1;PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q9P0K1;ADAM22;Disintegrin and metalloproteinase domain-containing protein 22;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: brain
Q9P0V8;SLAMF8;SLAM family member 8;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
Q9P126;CLEC1B;C-type lectin domain family 1 member B;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: liver
Q9P1Z2;CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q9UBG3;CRNN;Cornulin;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: esophagus, vagina
Q9UBM4;OPTC;Opticin;Olink Explore Oncology, Olink Target 96 Cell Regulation;Not detected
Q9UBP4;DKK3;Dickkopf-related protein 3;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enriched: heart muscle
Q9UBR2;CTSZ;Cathepsin Z;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
Q9UBT3;DKK4;Dickkopf-related protein 4;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, esophagus
Q9UBU3;GHRL;Appetite-regulating hormone;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: stomach 1
Q9UBX1;CTSF;Cathepsin F;Olink Explore Oncology, Olink Target 96 Development;Low tissue specificity
Q9UBX7;KLK11;Kallikrein-11;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: esophagus, salivary gland, skin 1, vagina
Q9UDT6;CLIP2;CAP-Gly domain-containing linker protein 2;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: brain
Q9UEW3;MARCO;Macrophage receptor MARCO;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: liver, lung, lymphoid tissue
Q9UGM5;FETUB;Fetuin-B;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
Q9UHC6;CNTNAP2;Contactin-associated protein-like 2;Olink Explore Inflammation, Olink Target 96 Immune Response;Group enriched: brain, retina
Q9UHD8;SEPTIN9;Septin-9;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q9UHF1;EGFL7;Epidermal growth factor-like protein 7;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q9UHF4;IL20RA;Interleukin-20 receptor subunit alpha;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: breast, skin 1
Q9UHL4;DPP7;Dipeptidyl peptidase 2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q9UHV9;PFDN2;Prefoldin subunit 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9UHX3;ADGRE2;Adhesion G protein-coupled receptor E2;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue
Q9UIB8;CD84;SLAM family member 5;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue
Q9UJ71;CD207;C-type lectin domain family 4 member K;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: skin 1
Q9UJ72;ANXA10;Annexin A10;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: stomach 1
Q9UJM8;HAO1;2-Hydroxyacid oxidase 1;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enriched: liver
Q9UJY5;GGA1;ADP-ribosylation factor-binding protein GGA1;Olink Explore Neurology, Olink Target 96 Oncology III;Tissue enhanced: testis
Q9UK05;GDF2;Growth/differentiation factor 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: liver
Q9UK53;ING1;Inhibitor of growth protein 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9UK85;DKKL1;Dickkopf-like protein 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: testis
Q9UKJ0;PILRB;Paired immunoglobulin-like type 2 receptor beta;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q9UKJ1;PILRA;Paired immunoglobulin-like type 2 receptor alpha;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q9UKK9;NUDT5;ADP-sugar pyrophosphatase;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q9UKL0;RCOR1;REST corepressor 1;Olink Explore Cardiometabolic, Olink Target 96 Organ Damage;Low tissue specificity
Q9UKP3;ITGB1BP2;Integrin beta-1-binding protein 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: heart muscle, skeletal muscle, tongue
Q9UKR0;KLK12;Kallikrein-12;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: cervix, esophagus, salivary gland, vagina
Q9UKR3;KLK13;Kallikrein-13;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: esophagus
Q9UKS7;IKZF2;Zinc finger protein Helios;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: lymphoid tissue
Q9UKX5;ITGA11;Integrin alpha-11;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: cervix, endometrium 1, smooth muscle
Q9ULL4;PLXNB3;Plexin-B3;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enriched: brain
Q9ULX7;CA14;Carbonic anhydrase 14;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue
Q9UM47;NOTCH3;Neurogenic locus notch homolog protein 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
Q9UMF0;ICAM5;Intercellular adhesion molecule 5;Olink Explore Cardiometabolic, Olink Target 96 Oncology III;Tissue enriched: brain
Q9UMR7;CLEC4A;C-type lectin domain family 4 member A;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: bone marrow, lymphoid tissue
Q9UN19;DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: esophagus, lymphoid tissue
Q9UNE0;EDAR;Tumor necrosis factor receptor superfamily member EDAR;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: esophagus
Q9UNK0;STX8;Syntaxin-8;Olink Explore Inflammation, Olink Target 96 Organ Damage;Low tissue specificity
Q9UPY6;WASF3;Actin-binding protein WASF3;Olink Explore Neurology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, retina
Q9UQQ2;SH2B3;SH2B adapter protein 3;Olink Explore Oncology, Olink Target 96 Immune Response;Tissue enhanced: bone marrow
Q9Y240;CLEC11A;C-type lectin domain family 11 member A;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: bone marrow
Q9Y275;TNFSF13B;Tumor necrosis factor ligand superfamily member 13B;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
Q9Y279;VSIG4;V-set and immunoglobulin domain-containing protein 4;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: lung
Q9Y286;SIGLEC7;Sialic acid-binding Ig-like lectin 7;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue
Q9Y2B0;CNPY2;Protein canopy homolog 2;Olink Explore Cardiometabolic, Olink Target 96 Oncology III;Low tissue specificity
Q9Y2J8;PADI2;Protein-arginine deiminase type-2;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: brain, skeletal muscle, tongue
Q9Y2V2;CARHSP1;Calcium-regulated heat-stable protein 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: testis
Q9Y2W6;TDRKH;Tudor and KH domain-containing protein;Olink Explore Neurology, Olink Target 96 Cell Regulation;Tissue enhanced: parathyroid gland, testis
Q9Y336;SIGLEC9;Sialic acid-binding Ig-like lectin 9;Olink Explore Oncology, Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue
Q9Y3P8;SIT1;Signaling threshold-regulating transmembrane adapter 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue
Q9Y478;PRKAB1;5'-AMP-activated protein kinase subunit beta-1;Olink Explore Inflammation, Olink Target 96 Organ Damage;Low tissue specificity
Q9Y4K4;MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
Q9Y4X3;CCL27;C-C motif chemokine 27;Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory;Tissue enriched: skin 1
Q9Y5A7;NUB1;NEDD8 ultimate buster 1;Olink Explore Inflammation, Olink Target 96 Organ Damage;Low tissue specificity
Q9Y5C1;ANGPTL3;Angiopoietin-related protein 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
Q9Y5K2;KLK4;Kallikrein-4;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: prostate
Q9Y5K6;CD2AP;CD2-associated protein;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q9Y5K8;ATP6V1D;V-type proton ATPase subunit D;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q9Y5L3;ENTPD2;Ectonucleoside triphosphate diphosphohydrolase 2;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: brain
Q9Y5P4;CERT1;Ceramide transfer protein;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9Y5V3;MAGED1;Melanoma-associated antigen D1;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q9Y5W5;WIF1;Wnt inhibitory factor 1;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: brain, retina
Q9Y624;F11R;Junctional adhesion molecule A;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Low tissue specificity
Q9Y662;HS3ST3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3B1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: liver, retina
Q9Y680;FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: ovary
Q9Y6A5;TACC3;Transforming acidic coiled-coil-containing protein 3;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: bone marrow, lymphoid tissue, testis
Q9Y6D9;MAD1L1;Mitotic spindle assembly checkpoint protein MAD1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9Y6K9;IKBKG;NF-kappa-B essential modulator;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Low tissue specificity
Q9Y6N7;ROBO1;Roundabout homolog 1;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q9Y6Q6;TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: intestine, salivary gland
A1E959;ODAM;Odontogenic ameloblast-associated protein;Olink Explore Neurology;Tissue enriched: salivary gland
A1L4H1;SSC5D;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D;Olink Explore Cardiometabolic;Tissue enhanced: endometrium 1
B1AKI9;ISM1;Isthmin-1;Olink Explore Inflammation;Tissue enhanced: thyroid gland
O00244;ATOX1;Copper transport protein ATOX1;Olink Explore Oncology;Low tissue specificity
O00292;LEFTY2;Left-right determination factor 2;Olink Explore Oncology;Tissue enhanced: cervix, endometrium 1
O00399;DCTN6;Dynactin subunit 6;Olink Explore Neurology;Low tissue specificity
O00468;AGRN;Agrin;Olink Explore Inflammation;Low tissue specificity
O00559;EBAG9;Receptor-binding cancer antigen expressed on SiSo cells;Olink Explore Neurology;Low tissue specificity
O00584;RNASET2;Ribonuclease T2;Olink Explore Cardiometabolic;Low tissue specificity
O00626;CCL22;C-C motif chemokine 22;Olink Explore Inflammation;Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder
O14523;C2CD2L;Phospholipid transfer protein C2CD2L;Olink Explore Neurology;Low tissue specificity
O14579;COPE;Coatomer subunit epsilon;Olink Explore Neurology;Low tissue specificity
O14618;CCS;Copper chaperone for superoxide dismutase;Olink Explore Neurology;Low tissue specificity
O14737;PDCD5;Programmed cell death protein 5;Olink Explore Neurology;Low tissue specificity
O14964;HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate;Olink Explore Oncology;Low tissue specificity
O14974;PPP1R12A;Protein phosphatase 1 regulatory subunit 12A;Olink Explore Oncology;Low tissue specificity
O15116;LSM1;U6 snRNA-associated Sm-like protein LSm1;Olink Explore Oncology;Low tissue specificity
O15117;FYB1;FYN-binding protein 1;Olink Explore Neurology;Tissue enhanced: bone marrow, lymphoid tissue
O15354;GPR37;Prosaposin receptor GPR37;Olink Explore Cardiometabolic;Group enriched: brain, retina
O15389;SIGLEC5;Sialic acid-binding Ig-like lectin 5;Olink Explore Neurology;Tissue enhanced: bone marrow, lymphoid tissue
O15394;NCAM2;Neural cell adhesion molecule 2;Olink Explore Neurology;Group enriched: adrenal gland, brain, liver, testis
O43598;DNPH1;2'-deoxynucleoside 5'-phosphate N-hydrolase 1;Olink Explore Inflammation;Low tissue specificity
O43639;NCK2;Cytoplasmic protein NCK2;Olink Explore Inflammation;Low tissue specificity
O43715;TRIAP1;TP53-regulated inhibitor of apoptosis 1;Olink Explore Oncology;Low tissue specificity
O60496;DOK2;Docking protein 2;Olink Explore Cardiometabolic;Tissue enhanced: lung, lymphoid tissue
O60635;TSPAN1;Tetraspanin-1;Olink Explore Cardiometabolic;Tissue enhanced: intestine
O60664;PLIN3;Perilipin-3;Olink Explore Cardiometabolic;Low tissue specificity
O60825;PFKFB2;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;Olink Explore Oncology;Tissue enhanced: retina
O60828;PQBP1;Polyglutamine-binding protein 1;Olink Explore Oncology;Low tissue specificity
O60884;DNAJA2;DnaJ homolog subfamily A member 2;Olink Explore Inflammation;Low tissue specificity
O75340;PDCD6;Programmed cell death protein 6;Olink Explore Cardiometabolic;Low tissue specificity
O75380;NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;Olink Explore Oncology;Tissue enhanced: skeletal muscle
O75462;CRLF1;Cytokine receptor-like factor 1;Olink Explore Inflammation;Tissue enhanced: heart muscle
O75493;CA11;Carbonic anhydrase-related protein 11;Olink Explore Oncology;Group enriched: brain, choroid plexus
O75563;SKAP2;Src kinase-associated phosphoprotein 2;Olink Explore Inflammation;Low tissue specificity
O75629;CREG1;Protein CREG1;Olink Explore Oncology;Low tissue specificity
O76061;STC2;Stanniocalcin-2;Olink Explore Neurology;Tissue enriched: breast
O76076;CCN5;CCN family member 5;Olink Explore Neurology;Tissue enhanced: adipose tissue, cervix
O76096;CST7;Cystatin-F;Olink Explore Inflammation;Tissue enriched: bone marrow
O94813;SLIT2;Slit homolog 2 protein;Olink Explore Neurology;Low tissue specificity
O94856;NFASC;Neurofascin;Olink Explore Inflammation;Tissue enhanced: brain
O94903;PLPBP;Pyridoxal phosphate homeostasis protein;Olink Explore Cardiometabolic;Low tissue specificity
O95256;IL18RAP;Interleukin-18 receptor accessory protein;Olink Explore Neurology;Group enriched: bone marrow, lymphoid tissue
O95466;FMNL1;Formin-like protein 1;Olink Explore Neurology;Tissue enhanced: bone marrow, lymphoid tissue
O95498;VNN2;Pantetheine hydrolase VNN2;Olink Explore Oncology;Tissue enhanced: bone marrow, lymphoid tissue
O95684;CEP43;Centrosomal protein 43;Olink Explore Cardiometabolic;Tissue enhanced: testis
O95817;BAG3;BAG family molecular chaperone regulator 3;Olink Explore Neurology;Tissue enhanced: brain, skeletal muscle
O95866;MPIG6B;Megakaryocyte and platelet inhibitory receptor G6b;Olink Explore Inflammation;Tissue enhanced: lung, lymphoid tissue, skin 1
O96017;CHEK2;Serine/threonine-protein kinase Chk2;Olink Explore Cardiometabolic;Low tissue specificity
P00568;AK1;Adenylate kinase isoenzyme 1;Olink Explore Cardiometabolic;Tissue enhanced: skeletal muscle, tongue
P00740;F9;Coagulation factor IX;Olink Explore Cardiometabolic;Tissue enriched: liver
P01178;OXT;Oxytocin-neurophysin 1;Olink Explore Neurology;Tissue enriched: brain
P01236;PRL;Prolactin;Olink Explore Neurology;Tissue enriched: pituitary gland
P01903;HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain;Olink Explore Inflammation;Tissue enhanced: lung, lymphoid tissue
P02533;KRT14;Keratin, type I cytoskeletal 14;Olink Explore Neurology;Tissue enriched: skin 1
P02749;APOH;Beta-2-glycoprotein 1;Olink Explore Neurology;Tissue enriched: liver
P04054;PLA2G1B;Phospholipase A2;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P04118;CLPS;Colipase;Olink Explore Neurology;Tissue enriched: pancreas
P04155;TFF1;Trefoil factor 1;Olink Explore Neurology;Tissue enriched: stomach 1
P04746;AMY2A;Pancreatic alpha-amylase;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P05060;CHGB;Secretogranin-1;Olink Explore Neurology;Group enriched: adrenal gland, pituitary gland
P05455;SSB;Lupus La protein;Olink Explore Neurology;Low tissue specificity
P05783;KRT18;Keratin, type I cytoskeletal 18;Olink Explore Oncology;Low tissue specificity
P05937;CALB1;Calbindin;Olink Explore Oncology;Tissue enriched: kidney
P06733;ENO1;Alpha-enolase;Olink Explore Neurology;Low tissue specificity
P06870;KLK1;Kallikrein-1;Olink Explore Oncology;Group enriched: pancreas, salivary gland
P07108;DBI;Acyl-CoA-binding protein;Olink Explore Neurology;Low tissue specificity
P07148;FABP1;Fatty acid-binding protein, liver;Olink Explore Inflammation;Group enriched: intestine, liver
P07741;APRT;Adenine phosphoribosyltransferase;Olink Explore Neurology;Low tissue specificity
P07858;CTSB;Cathepsin B;Olink Explore Cardiometabolic;Low tissue specificity
P08134;RHOC;Rho-related GTP-binding protein RhoC;Olink Explore Neurology;Low tissue specificity
P08174;CD55;Complement decay-accelerating factor;Olink Explore Cardiometabolic;Low tissue specificity
P08263;GSTA1;Glutathione S-transferase A1;Olink Explore Cardiometabolic;Tissue enhanced: adrenal gland, kidney, liver
P08319;ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4;Olink Explore Cardiometabolic;Tissue enriched: liver
P08571;CD14;Monocyte differentiation antigen CD14;Olink Explore Cardiometabolic;Tissue enhanced: liver
P08758;ANXA5;Annexin A5;Olink Explore Neurology;Low tissue specificity
P09093;CELA3A;Chymotrypsin-like elastase family member 3A;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P09496;CLTA;Clathrin light chain A;Olink Explore Cardiometabolic;Low tissue specificity
P0DMV8;HSPA1A;Heat shock 70 kDa protein 1A;Olink Explore Inflammation;Low tissue specificity
P10606;COX5B;Cytochrome c oxidase subunit 5B, mitochondrial;Olink Explore Oncology;Tissue enhanced: skeletal muscle
P10644;PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit;Olink Explore Cardiometabolic;Low tissue specificity
P11684;SCGB1A1;Uteroglobin;Olink Explore Inflammation;Tissue enriched: lung
P12081;HARS1;Histidine--tRNA ligase, cytoplasmic;Olink Explore Neurology;Low tissue specificity
P12111;COL6A3;Collagen alpha-3(VI) chain;Olink Explore Cardiometabolic;Tissue enhanced: smooth muscle
P12429;ANXA3;Annexin A3;Olink Explore Neurology;Tissue enhanced: bone marrow
P12532;CKMT1A, CKMT1B;Creatine kinase U-type, mitochondrial;Olink Explore Inflammation;Tissue enhanced: esophagus, intestine, Tissue enhanced: brain, esophagus, intestine
P13473;LAMP2;Lysosome-associated membrane glycoprotein 2;Olink Explore Neurology;Low tissue specificity
P13647;KRT5;Keratin, type II cytoskeletal 5;Olink Explore Neurology;Group enriched: esophagus, skin 1, vagina
P13807;GYS1;Glycogen [starch] synthase, muscle;Olink Explore Cardiometabolic;Group enriched: heart muscle, skeletal muscle, tongue
P14136;GFAP;Glial fibrillary acidic protein;Olink Explore Oncology;Tissue enriched: brain
P14207;FOLR2;Folate receptor beta;Olink Explore Neurology;Tissue enhanced: placenta
P14209;CD99;CD99 antigen;Olink Explore Neurology;Low tissue specificity
P14555;PLA2G2A;Phospholipase A2, membrane associated;Olink Explore Cardiometabolic;Group enriched: adipose tissue, intestine, placenta, urinary bladder
P14868;DARS1;Aspartate--tRNA ligase, cytoplasmic;Olink Explore Neurology;Low tissue specificity
P15336;ATF2;Cyclic AMP-dependent transcription factor ATF-2;Olink Explore Neurology;Low tissue specificity
P17516;AKR1C4;Aldo-keto reductase family 1 member C4;Olink Explore Cardiometabolic;Tissue enriched: liver
P17538;CTRB1;Chymotrypsinogen B;Olink Explore Neurology;Tissue enriched: pancreas
P17676;CEBPB;CCAAT/enhancer-binding protein beta;Olink Explore Cardiometabolic;Low tissue specificity
P18428;LBP;Lipopolysaccharide-binding protein;Olink Explore Cardiometabolic;Tissue enriched: liver
P19440;GGT1;Glutathione hydrolase 1 proenzyme;Olink Explore Neurology;Tissue enhanced: kidney, liver
P19876;CXCL3;C-X-C motif chemokine 3;Olink Explore Inflammation;Tissue enhanced: adipose tissue, cervix
P19961;AMY2B;Alpha-amylase 2B;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P20774;OGN;Mimecan;Olink Explore Neurology;Tissue enhanced: cervix
P20809;IL11;Interleukin-11;Olink Explore Inflammation;Low tissue specificity
P20827;EFNA1;Ephrin-A1;Olink Explore Neurology;Tissue enhanced: liver
P20851;C4BPB;C4b-binding protein beta chain;Olink Explore Oncology;Tissue enriched: liver
P21549;AGXT;Alanine--glyoxylate aminotransferase;Olink Explore Cardiometabolic;Tissue enriched: liver
P21709;EPHA1;Ephrin type-A receptor 1;Olink Explore Inflammation;Group enriched: esophagus, parathyroid gland
P22079;LPO;Lactoperoxidase;Olink Explore Neurology;Tissue enriched: salivary gland
P22304;IDS;Iduronate 2-sulfatase;Olink Explore Inflammation;Tissue enriched: brain
P22307;SCP2;Sterol carrier protein 2;Olink Explore Oncology;Tissue enhanced: liver
P22676;CALB2;Calretinin;Olink Explore Neurology;Tissue enhanced: adipose tissue, brain, breast
P22692;IGFBP4;Insulin-like growth factor-binding protein 4;Olink Explore Neurology;Low tissue specificity
P22894;MMP8;Neutrophil collagenase;Olink Explore Neurology;Tissue enriched: bone marrow
P23276;KEL;Kell blood group glycoprotein;Olink Explore Neurology;Group enriched: bone marrow, testis
P23381;WARS1;Tryptophan--tRNA ligase, cytoplasmic;Olink Explore Neurology;Tissue enhanced: placenta
P26440;IVD;Isovaleryl-CoA dehydrogenase, mitochondrial;Olink Explore Neurology;Low tissue specificity
P28906;CD34;Hematopoietic progenitor cell antigen CD34;Olink Explore Neurology;Low tissue specificity
P28908;TNFRSF8;Tumor necrosis factor receptor superfamily member 8;Olink Explore Neurology;Tissue enhanced: adipose tissue
P29279;CCN2;CCN family member 2;Olink Explore Inflammation;Low tissue specificity
P29466;CASP1;Caspase-1;Olink Explore Neurology;Tissue enhanced: intestine, lymphoid tissue
P29475;NOS1;Nitric oxide synthase, brain;Olink Explore Neurology;Group enriched: brain, skeletal muscle, tongue
P30039;PBLD;Phenazine biosynthesis-like domain-containing protein;Olink Explore Neurology;Group enriched: intestine, kidney, liver
P30613;PKLR;Pyruvate kinase PKLR;Olink Explore Inflammation;Tissue enhanced: bone marrow, kidney, liver
P30740;SERPINB1;Leukocyte elastase inhibitor;Olink Explore Neurology;Tissue enhanced: bone marrow, esophagus
P31146;CORO1A;Coronin-1A;Olink Explore Cardiometabolic;Group enriched: bone marrow, lymphoid tissue
P31350;RRM2;Ribonucleoside-diphosphate reductase subunit M2;Olink Explore Oncology;Group enriched: bone marrow, esophagus, intestine, lymphoid tissue
P31483;TIA1;Cytotoxic granule associated RNA binding protein TIA1;Olink Explore Cardiometabolic;Low tissue specificity
P34896;SHMT1;Serine hydroxymethyltransferase, cytosolic;Olink Explore Inflammation;Tissue enhanced: kidney, liver
P34913;EPHX2;Bifunctional epoxide hydrolase 2;Olink Explore Cardiometabolic;Tissue enhanced: liver
P34947;GRK5;G protein-coupled receptor kinase 5;Olink Explore Cardiometabolic;Low tissue specificity
P34949;MPI;Mannose-6-phosphate isomerase;Olink Explore Oncology;Low tissue specificity
P34998;CRHR1;Corticotropin-releasing factor receptor 1;Olink Explore Cardiometabolic;Group enriched: brain, pituitary gland
P35613;BSG;Basigin;Olink Explore Inflammation;Low tissue specificity
P35625;TIMP3;Metalloproteinase inhibitor 3;Olink Explore Inflammation;Low tissue specificity
P35813;PPM1A;Protein phosphatase 1A;Olink Explore Oncology;Tissue enhanced: bone marrow
P36952;SERPINB5;Serpin B5;Olink Explore Cardiometabolic;Tissue enhanced: esophagus, skin 1, urinary bladder
P36959;GMPR;GMP reductase 1;Olink Explore Inflammation;Tissue enhanced: skeletal muscle, tongue
P37235;HPCAL1;Hippocalcin-like protein 1;Olink Explore Inflammation;Tissue enhanced: brain
P39748;FEN1;Flap endonuclease 1;Olink Explore Oncology;Tissue enhanced: lymphoid tissue
P40189;IL6ST;Interleukin-6 receptor subunit beta;Olink Explore Cardiometabolic;Low tissue specificity
P41218;MNDA;Myeloid cell nuclear differentiation antigen;Olink Explore Cardiometabolic;Group enriched: bone marrow, lymphoid tissue
P41222;PTGDS;Prostaglandin-H2 D-isomerase;Olink Explore Cardiometabolic;Tissue enhanced: brain, heart muscle, testis
P41586;ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor;Olink Explore Oncology;Tissue enriched: brain
P43121;MCAM;Cell surface glycoprotein MUC18;Olink Explore Cardiometabolic;Low tissue specificity
P45452;MMP13;Collagenase 3;Olink Explore Neurology;Tissue enriched: urinary bladder
P45984;MAPK9;Mitogen-activated protein kinase 9;Olink Explore Inflammation;Low tissue specificity
P46060;RANGAP1;Ran GTPase-activating protein 1;Olink Explore Oncology;Low tissue specificity
P48047;ATP5PO;ATP synthase subunit O, mitochondrial;Olink Explore Neurology;Tissue enhanced: tongue
P48304;REG1B;Lithostathine-1-beta;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P49767;VEGFC;Vascular endothelial growth factor C;Olink Explore Oncology;Low tissue specificity
P50120;RBP2;Retinol-binding protein 2;Olink Explore Oncology;Tissue enriched: intestine
P50453;SERPINB9;Serpin B9;Olink Explore Neurology;Tissue enhanced: lymphoid tissue, placenta
P50583;NUDT2;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical];Olink Explore Oncology;Low tissue specificity
P51531;SMARCA2;Probable global transcription activator SNF2L2;Olink Explore Neurology;Low tissue specificity
P51692;STAT5B;Signal transducer and activator of transcription 5B;Olink Explore Oncology;Low tissue specificity
P52789;HK2;Hexokinase-2;Olink Explore Cardiometabolic;Tissue enhanced: retina
P53985;SLC16A1;Monocarboxylate transporter 1;Olink Explore Neurology;Low tissue specificity
P54317;PNLIPRP2;Pancreatic lipase-related protein 2;Olink Explore Inflammation;
P54727;RAD23B;UV excision repair protein RAD23 homolog B;Olink Explore Oncology;Low tissue specificity
P55082;MFAP3;Microfibril-associated glycoprotein 3;Olink Explore Cardiometabolic;Low tissue specificity
P55259;GP2;Pancreatic secretory granule membrane major glycoprotein GP2;Olink Explore Cardiometabolic;Tissue enriched: pancreas
P55273;CDKN2D;Cyclin-dependent kinase 4 inhibitor D;Olink Explore Oncology;Tissue enhanced: bone marrow
P58546;MTPN;Myotrophin;Olink Explore Cardiometabolic;Low tissue specificity
